timestamp,location_name,latitude,longitude,solar_radiation_kw_per_m2,raw_allsky_sfc_sw_dwn_wh_per_m2,source,source_dataset,time_standard
2023-01-03T18:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.08715,87.15,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T19:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T20:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T21:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T22:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-03T23:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T00:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T01:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T02:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T03:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T04:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T05:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T06:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T07:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T08:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.03803,38.03,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T09:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.161,161.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T10:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.30957999999999997,309.58,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T11:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.44127,441.27,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T12:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.55772,557.72,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T13:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.57608,576.08,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T14:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.58315,583.15,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T15:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.6377,637.7,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T16:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.46898,468.98,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T17:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.27344999999999997,273.45,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T18:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.08522,85.22,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T19:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T20:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T21:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
2023-01-04T22:00:00Z,"Praia, Santiago Island, Cabo Verde",14.92,-23.51,0.0,0.0,NASA POWER Hourly API,SYN1DEG/MERRA-2 via NASA POWER,UTC
