hour_of_year,timestamp,wind_speed_100m_m_s,solar_radiation_w_m2,solar_radiation_kw_m2,source
4536,2023-07-08 23:00:00,6.86,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4537,2023-07-09 00:00:00,6.41,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4538,2023-07-09 01:00:00,6.59,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4539,2023-07-09 02:00:00,6.14,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4540,2023-07-09 03:00:00,5.73,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4541,2023-07-09 04:00:00,5.73,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4542,2023-07-09 05:00:00,6.13,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4543,2023-07-09 06:00:00,6.5,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4544,2023-07-09 07:00:00,6.51,27.0,0.027,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4545,2023-07-09 08:00:00,6.1,161.0,0.161,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4546,2023-07-09 09:00:00,5.97,361.0,0.361,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4547,2023-07-09 10:00:00,5.63,556.0,0.556,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4548,2023-07-09 11:00:00,3.64,725.0,0.725,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4549,2023-07-09 12:00:00,3.09,851.0,0.851,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4550,2023-07-09 13:00:00,3.19,895.0,0.895,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4551,2023-07-09 14:00:00,3.64,865.0,0.865,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4552,2023-07-09 15:00:00,4.22,767.0,0.767,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4553,2023-07-09 16:00:00,5.19,630.0,0.63,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4554,2023-07-09 17:00:00,6.09,436.0,0.436,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4555,2023-07-09 18:00:00,6.85,226.0,0.226,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4556,2023-07-09 19:00:00,7.11,60.0,0.06,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4557,2023-07-09 20:00:00,7.8,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4558,2023-07-09 21:00:00,8.11,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4559,2023-07-09 22:00:00,8.32,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4560,2023-07-09 23:00:00,7.81,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4561,2023-07-10 00:00:00,8.03,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4562,2023-07-10 01:00:00,8.05,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4563,2023-07-10 02:00:00,8.24,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4564,2023-07-10 03:00:00,8.2,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4565,2023-07-10 04:00:00,8.14,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4566,2023-07-10 05:00:00,8.54,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4567,2023-07-10 06:00:00,8.22,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4568,2023-07-10 07:00:00,7.47,28.0,0.028,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4569,2023-07-10 08:00:00,7.02,175.0,0.175,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4570,2023-07-10 09:00:00,7.55,377.0,0.377,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4571,2023-07-10 10:00:00,7.55,564.0,0.564,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4572,2023-07-10 11:00:00,7.06,748.0,0.748,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4573,2023-07-10 12:00:00,8.3,842.0,0.842,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4574,2023-07-10 13:00:00,8.54,867.0,0.867,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4575,2023-07-10 14:00:00,7.79,856.0,0.856,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4576,2023-07-10 15:00:00,7.53,779.0,0.779,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4577,2023-07-10 16:00:00,7.0,613.0,0.613,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4578,2023-07-10 17:00:00,6.98,398.0,0.398,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4579,2023-07-10 18:00:00,6.91,205.0,0.205,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4580,2023-07-10 19:00:00,5.91,52.0,0.052,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4581,2023-07-10 20:00:00,5.26,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4582,2023-07-10 21:00:00,5.03,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4583,2023-07-10 22:00:00,4.9,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4584,2023-07-10 23:00:00,4.73,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4585,2023-07-11 00:00:00,5.29,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4586,2023-07-11 01:00:00,5.32,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4587,2023-07-11 02:00:00,5.14,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4588,2023-07-11 03:00:00,5.22,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4589,2023-07-11 04:00:00,5.41,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4590,2023-07-11 05:00:00,4.79,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4591,2023-07-11 06:00:00,4.81,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4592,2023-07-11 07:00:00,5.52,23.0,0.023,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4593,2023-07-11 08:00:00,5.3,162.0,0.162,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4594,2023-07-11 09:00:00,4.1,361.0,0.361,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4595,2023-07-11 10:00:00,3.85,521.0,0.521,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4596,2023-07-11 11:00:00,4.05,634.0,0.634,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4597,2023-07-11 12:00:00,4.93,790.0,0.79,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4598,2023-07-11 13:00:00,5.81,853.0,0.853,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4599,2023-07-11 14:00:00,5.0,855.0,0.855,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4600,2023-07-11 15:00:00,3.91,711.0,0.711,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4601,2023-07-11 16:00:00,2.62,587.0,0.587,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4602,2023-07-11 17:00:00,2.12,388.0,0.388,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4603,2023-07-11 18:00:00,1.84,184.0,0.184,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4604,2023-07-11 19:00:00,1.8,59.0,0.059,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4605,2023-07-11 20:00:00,3.62,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4606,2023-07-11 21:00:00,3.98,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4607,2023-07-11 22:00:00,4.0,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4608,2023-07-11 23:00:00,4.9,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4609,2023-07-12 00:00:00,4.18,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4610,2023-07-12 01:00:00,3.22,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4611,2023-07-12 02:00:00,4.18,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4612,2023-07-12 03:00:00,4.41,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4613,2023-07-12 04:00:00,4.7,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4614,2023-07-12 05:00:00,5.2,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4615,2023-07-12 06:00:00,5.11,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4616,2023-07-12 07:00:00,4.73,24.0,0.024,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4617,2023-07-12 08:00:00,4.28,157.0,0.157,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4618,2023-07-12 09:00:00,4.18,349.0,0.349,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4619,2023-07-12 10:00:00,3.22,509.0,0.509,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4620,2023-07-12 11:00:00,4.64,705.0,0.705,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4621,2023-07-12 12:00:00,3.91,799.0,0.799,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4622,2023-07-12 13:00:00,3.71,870.0,0.87,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4623,2023-07-12 14:00:00,4.36,857.0,0.857,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4624,2023-07-12 15:00:00,4.61,768.0,0.768,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4625,2023-07-12 16:00:00,3.75,624.0,0.624,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4626,2023-07-12 17:00:00,3.09,432.0,0.432,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4627,2023-07-12 18:00:00,2.39,219.0,0.219,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4628,2023-07-12 19:00:00,2.42,58.0,0.058,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4629,2023-07-12 20:00:00,2.69,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4630,2023-07-12 21:00:00,2.83,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4631,2023-07-12 22:00:00,3.76,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4632,2023-07-12 23:00:00,2.52,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4633,2023-07-13 00:00:00,2.48,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4634,2023-07-13 01:00:00,3.2,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4635,2023-07-13 02:00:00,3.8,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4636,2023-07-13 03:00:00,3.67,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4637,2023-07-13 04:00:00,3.45,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4638,2023-07-13 05:00:00,3.41,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4639,2023-07-13 06:00:00,4.08,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4640,2023-07-13 07:00:00,4.58,23.0,0.023,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4641,2023-07-13 08:00:00,4.88,148.0,0.148,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4642,2023-07-13 09:00:00,5.08,334.0,0.334,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4643,2023-07-13 10:00:00,5.32,537.0,0.537,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4644,2023-07-13 11:00:00,4.92,717.0,0.717,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4645,2023-07-13 12:00:00,4.7,817.0,0.817,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4646,2023-07-13 13:00:00,4.7,725.0,0.725,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4647,2023-07-13 14:00:00,3.82,550.0,0.55,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4648,2023-07-13 15:00:00,3.06,747.0,0.747,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4649,2023-07-13 16:00:00,2.24,391.0,0.391,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4650,2023-07-13 17:00:00,3.3,257.0,0.257,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4651,2023-07-13 18:00:00,4.03,193.0,0.193,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4652,2023-07-13 19:00:00,3.3,59.0,0.059,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4653,2023-07-13 20:00:00,2.79,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4654,2023-07-13 21:00:00,2.42,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4655,2023-07-13 22:00:00,2.33,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4656,2023-07-13 23:00:00,1.42,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4657,2023-07-14 00:00:00,1.9,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4658,2023-07-14 01:00:00,3.0,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4659,2023-07-14 02:00:00,2.55,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4660,2023-07-14 03:00:00,1.98,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4661,2023-07-14 04:00:00,1.7,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4662,2023-07-14 05:00:00,1.03,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4663,2023-07-14 06:00:00,2.58,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4664,2023-07-14 07:00:00,3.23,26.0,0.026,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4665,2023-07-14 08:00:00,1.92,170.0,0.17,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4666,2023-07-14 09:00:00,0.6,372.0,0.372,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4667,2023-07-14 10:00:00,0.8,573.0,0.573,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4668,2023-07-14 11:00:00,3.31,738.0,0.738,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4669,2023-07-14 12:00:00,3.23,850.0,0.85,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4670,2023-07-14 13:00:00,2.72,872.0,0.872,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4671,2023-07-14 14:00:00,3.49,847.0,0.847,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4672,2023-07-14 15:00:00,3.13,762.0,0.762,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4673,2023-07-14 16:00:00,3.86,584.0,0.584,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4674,2023-07-14 17:00:00,4.24,400.0,0.4,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4675,2023-07-14 18:00:00,3.74,182.0,0.182,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4676,2023-07-14 19:00:00,2.93,53.0,0.053,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4677,2023-07-14 20:00:00,2.12,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4678,2023-07-14 21:00:00,1.04,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4679,2023-07-14 22:00:00,1.24,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4680,2023-07-14 23:00:00,2.3,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4681,2023-07-15 00:00:00,1.91,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4682,2023-07-15 01:00:00,2.04,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4683,2023-07-15 02:00:00,3.13,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4684,2023-07-15 03:00:00,2.41,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4685,2023-07-15 04:00:00,1.72,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4686,2023-07-15 05:00:00,1.84,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4687,2023-07-15 06:00:00,2.61,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4688,2023-07-15 07:00:00,2.45,16.0,0.016,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4689,2023-07-15 08:00:00,2.27,149.0,0.149,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4690,2023-07-15 09:00:00,1.82,370.0,0.37,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4691,2023-07-15 10:00:00,2.97,537.0,0.537,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4692,2023-07-15 11:00:00,4.6,725.0,0.725,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4693,2023-07-15 12:00:00,4.33,851.0,0.851,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4694,2023-07-15 13:00:00,4.46,876.0,0.876,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4695,2023-07-15 14:00:00,4.06,779.0,0.779,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4696,2023-07-15 15:00:00,3.83,756.0,0.756,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4697,2023-07-15 16:00:00,3.8,627.0,0.627,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4698,2023-07-15 17:00:00,3.88,438.0,0.438,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4699,2023-07-15 18:00:00,4.0,232.0,0.232,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4700,2023-07-15 19:00:00,3.77,60.0,0.06,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4701,2023-07-15 20:00:00,3.88,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4702,2023-07-15 21:00:00,3.32,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4703,2023-07-15 22:00:00,3.11,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4704,2023-07-15 23:00:00,3.42,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4705,2023-07-16 00:00:00,3.48,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4706,2023-07-16 01:00:00,3.04,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4707,2023-07-16 02:00:00,2.98,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4708,2023-07-16 03:00:00,2.73,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4709,2023-07-16 04:00:00,2.92,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4710,2023-07-16 05:00:00,2.62,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4711,2023-07-16 06:00:00,2.09,0.0,0.0,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4712,2023-07-16 07:00:00,1.8,23.0,0.023,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4713,2023-07-16 08:00:00,1.22,155.0,0.155,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4714,2023-07-16 09:00:00,0.82,327.0,0.327,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4715,2023-07-16 10:00:00,2.11,526.0,0.526,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4716,2023-07-16 11:00:00,2.45,647.0,0.647,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4717,2023-07-16 12:00:00,2.91,704.0,0.704,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
4718,2023-07-16 13:00:00,2.86,736.0,0.736,"Open-Meteo Historical Weather API, wind_speed_100m and shortwave_radiation, Praia/Santiago coordinates"
